Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
85,19,4,144,7,Some Random Commen with Id 85
86,20,7,56,5,Some Random Commen with Id 86
87,20,7,125,9,Some Random Commen with Id 87
88,20,7,181,7,Some Random Commen with Id 88
89,20,7,40,9,Some Random Commen with Id 89
90,20,7,163,2,Some Random Commen with Id 90
91,21,4,76,3,Some Random Commen with Id 91
92,21,4,179,0,Some Random Commen with Id 92
93,21,4,128,5,Some Random Commen with Id 93
94,21,4,140,9,Some Random Commen with Id 94
95,22,3,132,6,Some Random Commen with Id 95
96,22,3,187,5,Some Random Commen with Id 96
97,22,3,88,7,Some Random Commen with Id 97
98,22,3,137,8,Some Random Commen with Id 98
99,22,3,119,7,Some Random Commen with Id 99
100,23,6,52,8,Some Random Commen with Id 100
101,23,6,83,6,Some Random Commen with Id 101
102,23,6,192,8,Some Random Commen with Id 102
103,23,6,134,4,Some Random Commen with Id 103
104,23,6,110,4,Some Random Commen with Id 104
105,24,1,64,5,Some Random Commen with Id 105
106,24,1,47,2,Some Random Commen with Id 106
107,24,1,112,4,Some Random Commen with Id 107
108,25,0,8,1,Some Random Commen with Id 108
109,25,0,124,6,Some Random Commen with Id 109
110,26,9,88,9,Some Random Commen with Id 110
111,26,9,172,4,Some Random Commen with Id 111
112,26,9,120,4,Some Random Commen with Id 112
113,26,9,84,5,Some Random Commen with Id 113
114,26,9,144,6,Some Random Commen with Id 114
115,26,9,50,7,Some Random Commen with Id 115
116,27,9,18,6,Some Random Commen with Id 116
117,27,9,100,1,Some Random Commen with Id 117
118,27,9,144,5,Some Random Commen with Id 118
119,27,9,196,8,Some Random Commen with Id 119
120,27,9,149,1,Some Random Commen with Id 120
121,27,9,21,1,Some Random Commen with Id 121
122,27,9,88,3,Some Random Commen with Id 122
123,27,9,82,2,Some Random Commen with Id 123
124,28,7,66,7,Some Random Commen with Id 124
125,29,2,125,3,Some Random Commen with Id 125
126,29,2,32,2,Some Random Commen with Id 126
127,29,2,194,7,Some Random Commen with Id 127
128,29,2,112,2,Some Random Commen with Id 128
129,29,2,165,3,Some Random Commen with Id 129
130,29,2,67,8,Some Random Commen with Id 130
131,29,2,148,5,Some Random Commen with Id 131
132,29,2,69,1,Some Random Commen with Id 132
133,30,5,1,8,Some Random Commen with Id 133
134,30,5,158,4,Some Random Commen with Id 134
135,30,5,70,3,Some Random Commen with Id 135
136,30,5,44,8,Some Random Commen with Id 136
137,30,5,54,4,Some Random Commen with Id 137
138,30,5,19,3,Some Random Commen with Id 138
139,30,5,88,4,Some Random Commen with Id 139
140,31,2,29,4,Some Random Commen with Id 140
141,31,2,43,5,Some Random Commen with Id 141
142,31,2,120,2,Some Random Commen with Id 142
143,31,2,192,3,Some Random Commen with Id 143
144,31,2,94,4,Some Random Commen with Id 144
145,31,2,54,3,Some Random Commen with Id 145
146,31,2,172,2,Some Random Commen with Id 146
147,32,2,144,2,Some Random Commen with Id 147
148,32,2,8,5,Some Random Commen with Id 148
149,32,2,88,6,Some Random Commen with Id 149
150,32,2,59,7,Some Random Commen with Id 150
151,32,2,23,5,Some Random Commen with Id 151
152,32,2,39,3,Some Random Commen with Id 152
153,33,6,141,3,Some Random Commen with Id 153
154,34,3,0,5,Some Random Commen with Id 154
155,34,3,28,6,Some Random Commen with Id 155
156,34,3,45,0,Some Random Commen with Id 156
157,34,3,6,7,Some Random Commen with Id 157
158,34,3,197,0,Some Random Commen with Id 158
159,35,2,99,4,Some Random Commen with Id 159
160,35,2,109,1,Some Random Commen with Id 160
161,35,2,33,7,Some Random Commen with Id 161
162,35,2,41,2,Some Random Commen with Id 162
163,36,7,191,9,Some Random Commen with Id 163
164,36,7,41,5,Some Random Commen with Id 164
165,36,7,116,2,Some Random Commen with Id 165
166,36,7,80,9,Some Random Commen with Id 166
167,36,7,41,1,Some Random Commen with Id 167
168,36,7,124,9,Some Random Commen with Id 168
169,36,7,186,1,Some Random Commen with Id 169
170,36,7,197,1,Some Random Commen with Id 170
171,37,0,12,9,Some Random Commen with Id 171
172,37,0,121,2,Some Random Commen with Id 172
173,37,0,173,6,Some Random Commen with Id 173
174,37,0,37,4,Some Random Commen with Id 174
175,37,0,75,5,Some Random Commen with Id 175
176,37,0,92,0,Some Random Commen with Id 176
177,37,0,157,2,Some Random Commen with Id 177
178,39,2,54,6,Some Random Commen with Id 178
179,39,2,171,6,Some Random Commen with Id 179
180,39,2,23,4,Some Random Commen with Id 180
